"AvailLangs";"en";"pl";"de";"es";"ru";"it"
"chCropMethod";"Choose crop style";"Wybierz styl przycinania";"Wähle Schnittstil";"Escoja tipo de recorte";"Вид кадрирования";"Scegli stile taglieria"
"chCropMethodQ";"Choose crop style";"Wybierz styl przycinania";"Wähle Schnittstil";"Escoja tipo de recorte";"Выберите вид кадрирования";"Scegli stile taglieria"
"cropCanvas";"Crop canvas (simple crop)";"Przytnij płótno";"Arbeitsfläche aufteilen";"Recortar el lienzo";"Обрезать холст";"Taglieria (Semplice taglieria)"
"mkCropMask";"Make crop mask";"Stwórz maskę kadrującą";"Erstelle Schnittmaske";"Hacer máscara de recorte";"Создать маску";"Crea maschera taglieria"
"bgOnLayer";"Background on layer";"Tło na warstwie";"Hintergrund auf Ebene";"Fondo sobre capa";"Фоновый слой";"Sfondo del livello"
"bgFill";"Background fill";"Wypełnienie tła";"Hintergrund füllen";"Relleno de fondo";"Фоновая заливка";"Riempimento sfondo"
"-grid";" - grid";" - siatka";" - Rastern";" - grilla";" - сетка";" - griglia"
"-resize";" - resize";" - przeskalowanie";" - Skalieren";" - re-escalar";" - размер";" - cambia dimensioni"
"-reveal";" - reveal";" - rozszerzanie";" - Einblenden";" - revelar";" - показ";" - rivela"
"-crop";" - crop";" - przycinanie";" - Beschneiden";" - recortar";" - обрезка";" - taglia"
"GCbySzN";"Golden Crop by SzopeN";"Golden Crop by SzopeN";"Golden Crop by SzopeN";"Recorte Dorado por SzopeN";"Golden Crop от SzopeN";"Taglieria d'oro di SzopeN"
"cropMask";"Crop mask";"Maska kadrująca";"Schnittmaske";"Máscara de recorte";"Маска кадрирвания";"Mascheria taglieria"
"divRules";"Dividing rules";"Reguły podziału";"Trennungsregeln";"Reglas de división";"Правила разделения";"Regole della divisione"
"stripAtPrc";"Strip at %1%%";"Paski na %1%%";"Linien auf %1%%";"Cinta al %1%%";"Линии на %1%%";"Guida a %1%%"
"goldenTriangleUp";"Golden triangle upwards";"Złoty trójkąt w górę";"Goldener Dreieck oben";"Triángulo dorado hacia arriba";"Золотой треугольник вверх";"Triangolo d'oro all'insù"
"goldenTriangleDown";"Golden triangle downwards";"Złoty trójkąt w dół";"Goldener Dreieck unten";"Triángulo dorado hacia abajo";"Золотой треугольник вниз";"Triangolo d'oro all'ingiù"
"diagonalMethod";"Diagonal method";"Metoda przekątnych";"Diagonale Methode";"Método Diagonal";"Метод диагоналей";"Metodo Diagonale"
"openB4Run";"Open the document in which you want the script to run.";"Otwórz dokument, w którym chcesz uruchomić ten skrypt.";"Öffne das Dokument, in dem das Script ablaufen soll.";"Abrir el documento en el cual quiere correr el script";"Откройте файл, в котором вы хотели бы запустить скрипт.";"Apri il documento nel quale vuoi applicare lo script."
"canvExtDet";"Canvas extension detected.";"Wykryto rozszerzenie płótna.";"Erweiterung der Arbeitsfläche zeigen";"Extensión del lienzo detectada";"Обнаружено увеличение холста";"Estensione quadro  trovato."
"canvExtDetQ";"What to do with canvas?";"Co mam zrobić z płótnem?";"Was mache ich mit der Arbeitsfläche?";"¿Qué hacer con el lienzo?";"Что следует предпринять?";"Cosa fare con il quatro?"
"extendCanvas";"Extend canvas";"Rozszerz płótno";"Erweiterte Arbeitsfläche";"Extender el lienzo";"Увеличить размеры";"Esteso quadro"
"dontExtCanv";"Crop without extension";"Przytnij bez rozszerzania";"Schnitt ohne Erweiterung";"Recortar sin extensón";"Обрезать без увеличения";"taglia senza estensione"
"retToCropping";"Return to cropping";"Wróć do kadrowania";"Zurück zum Schneiden";"Volver a recorte";"Вернуться к кадрированию";"Torna alla taglieria"
"chCompMethod";"Composition method";"Metoda kompozycji";"Kompositionsmethode";"Método de composición";"Метод построения композиции";"Metodo di composizione"
"chCompMethodQ";"Choose composition guidelines";"Wybierz metodę kompozycji";"Auswahl der Kompositionslinien";"Escoja guías de composición";"Выберите тип направляющих линий";"Sciegli guide di composizione"
